date,lot_type_0,lots_total_0,lots_available_0
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
2016-02-04T18:15:45,C,353,286
