date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:28,C,296,212
2019-03-26T13:10:59,C,296,211
2019-03-26T13:20:59,C,296,208
2019-03-26T13:30:59,C,296,214
2019-03-26T13:39:59,C,296,217
2019-03-26T13:50:30,C,296,218
2019-03-26T14:00:30,C,296,219
2019-03-26T14:10:31,C,296,225
2019-03-26T14:20:31,C,296,229
2019-03-26T14:31:01,C,296,230
2019-03-26T14:41:01,C,296,236
2019-03-26T14:51:03,C,296,230
2019-03-26T15:00:02,C,296,237
2019-03-26T15:11:32,C,296,236
2019-03-26T15:20:32,C,296,228
2019-03-26T15:31:33,C,296,223
2019-03-26T15:41:03,C,296,224
2019-03-26T15:52:03,C,296,222
2019-03-26T16:00:04,C,296,218
2019-03-26T16:10:04,C,296,228
2019-03-26T16:21:34,C,296,224
2019-03-26T16:31:35,C,296,227
2019-03-26T16:41:35,C,296,223
2019-03-26T16:51:35,C,296,218
2019-03-26T17:02:05,C,296,216
2019-03-26T17:11:05,C,296,216
2019-03-26T17:21:06,C,296,209
2019-03-26T17:31:06,C,296,210
2019-03-26T17:41:37,C,296,206
2019-03-26T17:51:37,C,296,201
2019-03-26T18:13:08,C,296,192
2019-03-26T18:32:08,C,296,189
2019-03-26T18:42:08,C,296,186
2019-03-26T18:52:39,C,296,183
2019-03-26T19:02:42,C,296,183
2019-03-26T19:13:39,C,296,180
2019-03-26T19:22:39,C,296,172
2019-03-26T19:34:10,C,296,172
2019-03-26T19:42:10,C,296,166
2019-03-26T19:53:10,C,296,164
2019-03-26T20:02:40,C,296,158
2019-03-26T20:13:41,C,296,152
2019-03-26T20:22:41,C,296,153
2019-03-26T20:33:41,C,296,147
2019-03-26T20:44:12,C,296,149
2019-03-26T20:53:12,C,296,147
2019-03-26T21:03:13,C,296,143
2019-03-26T21:13:13,C,296,148
2019-03-26T21:22:43,C,296,154
2019-03-26T21:33:43,C,296,152
2019-03-26T21:43:44,C,296,138
2019-03-26T21:54:14,C,296,135
2019-03-26T22:02:14,C,296,131
2019-03-26T22:13:14,C,296,136
2019-03-26T22:23:15,C,296,136
2019-03-26T22:33:45,C,296,135
2019-03-26T22:43:45,C,296,140
2019-03-26T22:53:46,C,296,142
2019-03-26T23:03:46,C,296,138
2019-03-26T23:14:16,C,296,136
2019-03-26T23:24:16,C,296,137
2019-03-26T23:34:17,C,296,130
2019-03-26T23:44:47,C,296,132
2019-03-26T23:54:47,C,296,138
2019-03-27T00:04:48,C,296,132
2019-03-27T00:13:48,C,296,138
2019-03-27T00:23:18,C,296,140
2019-03-27T00:30:19,C,296,138
2019-03-27T00:43:19,C,296,143
2019-03-27T00:54:19,C,296,138
2019-03-27T01:04:49,C,296,136
2019-03-27T01:14:50,C,296,133
2019-03-27T01:24:50,C,296,133
2019-03-27T01:35:20,C,296,135
2019-03-27T01:44:21,C,296,134
2019-03-27T01:54:21,C,296,133
2019-03-27T02:04:21,C,296,133
2019-03-27T02:14:51,C,296,133
2019-03-27T02:24:52,C,296,134
2019-03-27T02:34:52,C,296,134
2019-03-27T02:44:52,C,296,134
2019-03-27T02:55:22,C,296,135
2019-03-27T03:15:23,C,296,136
2019-03-27T03:25:23,C,296,137
2019-03-27T03:34:53,C,296,137
2019-03-27T03:45:54,C,296,136
2019-03-27T03:55:54,C,296,135
2019-03-27T04:05:25,C,296,144
2019-03-27T04:14:25,C,296,144
2019-03-27T04:24:28,C,296,146
2019-03-27T04:35:25,C,296,146
2019-03-27T04:44:56,C,296,144
2019-03-27T04:55:56,C,296,145
2019-03-27T05:06:03,C,296,144
2019-03-27T05:16:03,C,296,146
2019-03-27T05:25:03,C,296,146
2019-03-27T05:35:34,C,296,147
2019-03-27T05:45:34,C,296,146
2019-03-27T05:55:34,C,296,148
2019-03-27T06:06:05,C,296,150
2019-03-27T06:16:05,C,296,148
2019-03-27T06:26:05,C,296,151
2019-03-27T06:35:05,C,296,156
2019-03-27T06:45:36,C,296,159
2019-03-27T06:55:36,C,296,164
2019-03-27T07:05:36,C,296,164
2019-03-27T07:16:37,C,296,170
2019-03-27T07:26:07,C,296,168
2019-03-27T07:36:08,C,296,170
2019-03-27T07:45:08,C,296,177
2019-03-27T07:55:08,C,296,180
2019-03-27T08:06:38,C,296,199
2019-03-27T08:15:38,C,296,202
2019-03-27T08:25:39,C,296,208
2019-03-27T08:37:10,C,296,210
2019-03-27T08:45:10,C,296,213
2019-03-27T08:55:10,C,296,220
2019-03-27T09:06:11,C,296,218
2019-03-27T09:16:41,C,296,219
2019-03-27T09:25:41,C,296,223
2019-03-27T09:36:41,C,296,228
2019-03-27T09:46:11,C,296,234
2019-03-27T09:57:12,C,296,233
2019-03-27T10:06:12,C,296,230
2019-03-27T10:16:13,C,296,228
2019-03-27T10:26:43,C,296,234
2019-03-27T10:35:43,C,296,233
2019-03-27T10:46:44,C,296,234
2019-03-27T10:56:43,C,296,242
2019-03-27T11:07:14,C,296,236
2019-03-27T11:16:14,C,296,231
2019-03-27T11:26:15,C,296,229
2019-03-27T11:36:15,C,296,228
2019-03-27T11:46:45,C,296,222
2019-03-27T11:57:45,C,296,215
2019-03-27T12:06:46,C,296,216
2019-03-27T12:18:16,C,296,213
2019-03-27T12:27:17,C,296,221
2019-03-27T12:36:16,C,296,222
2019-03-27T12:47:17,C,296,222
2019-03-27T12:56:47,C,296,217
2019-03-27T13:07:47,C,296,212
2019-03-27T13:16:47,C,296,212
2019-03-27T13:27:48,C,296,216
2019-03-27T13:36:18,C,296,224
2019-03-27T13:47:18,C,296,227
2019-03-27T13:56:19,C,296,235
2019-03-27T14:07:49,C,296,234
2019-03-27T14:16:49,C,296,238
2019-03-27T14:27:49,C,296,235
2019-03-27T14:37:50,C,296,232
2019-03-27T14:47:20,C,296,235
2019-03-27T14:56:23,C,296,236
2019-03-27T15:07:21,C,296,235
2019-03-27T15:17:21,C,296,231
2019-03-27T15:26:51,C,296,232
2019-03-27T15:37:51,C,296,233
2019-03-27T15:47:52,C,296,230
2019-03-27T15:57:52,C,296,226
2019-03-27T16:07:22,C,296,228
2019-03-27T16:17:22,C,296,226
2019-03-27T16:28:23,C,296,224
2019-03-27T16:38:53,C,296,220
2019-03-27T16:48:53,C,296,217
2019-03-27T16:58:54,C,296,220
2019-03-27T17:08:54,C,296,221
2019-03-27T17:18:24,C,296,221
2019-03-27T17:27:25,C,296,213
2019-03-27T17:38:25,C,296,212
2019-03-27T17:47:25,C,296,216
2019-03-27T17:57:55,C,296,206
2019-03-27T18:08:57,C,296,198
